iter	Poisson
0	-109.0522091
1	-201.3357141
2	-363.0953546
3	-489.3439868
4	-589.1819547
5	-672.7970707
6	-821.2892328
7	-939.8479634
8	-1040.319647
9	-1133.369869
10	-1292.74003
11	-1431.37962
12	-1556.068565
13	-1674.558217
14	-1792.236391
15	-1914.443642
16	-2032.114488
17	-2145.22517
18	-2254.909041
19	-2361.739673
20	-2464.088154
21	-2563.197174
22	-2660.151373
23	-2754.058761
24	-2844.020171
25	-2931.999433
26	-3017.107802
27	-3099.377399
28	-3178.878658
29	-3255.731602
30	-3330.013365
31	-3401.166211
32	-3470.563148
33	-3537.542051
34	-3602.190617
35	-3664.01555
36	-3724.162238
37	-3781.68933
38	-3837.635734
39	-3891.502449
40	-3943.050056
41	-3993.063547
42	-4041.185286
43	-4087.095987
44	-4131.659956
45	-4174.447913
46	-4215.614197
47	-4255.216079
48	-4292.908269
49	-4329.064297
50	-4364.042474
51	-4397.642661
52	-4429.846163
53	-4460.699893
54	-4490.281122
55	-4518.386702
56	-4545.490823
57	-4571.335237
58	-4596.184285
59	-4619.752326
60	-4642.289111
61	-4664.025878
62	-4684.806242
63	-4704.488572
64	-4723.499133
65	-4741.595126
66	-4758.785881
67	-4775.154292
68	-4790.753612
69	-4805.758367
70	-4820.050341
71	-4833.714385
72	-4846.713088
73	-4858.916489
74	-4870.570033
75	-4881.622358
76	-4892.131617
77	-4902.133944
78	-4911.676151
79	-4920.871533
80	-4929.558402
81	-4937.820488
82	-4945.715466
83	-4953.195305
84	-4960.28625
85	-4967.070084
86	-4973.450436
87	-4979.549289
88	-4985.262802
89	-4990.76155
90	-4995.926504
91	-5000.841609
92	-5005.454974
93	-5009.869693
94	-5014.037811
95	-5017.979199
96	-5021.732802
97	-5025.239292
98	-5028.588731
99	-5031.798754
100	-5034.769493
101	-5037.619018
102	-5040.317213
103	-5042.869713
104	-5045.275291
105	-5047.524409
106	-5049.702352
107	-5051.757966
108	-5053.708502
109	-5055.505539
110	-5057.246294
111	-5058.903391
112	-5060.445816
113	-5061.90757
114	-5063.278537
115	-5064.624864
116	-5065.864828
117	-5067.054096
118	-5068.169165
119	-5069.208039
120	-5070.163041
121	-5071.099155
122	-5071.983216
123	-5072.820534
124	-5073.598787
125	-5074.398768
126	-5075.154166
127	-5075.825833
128	-5076.485253
129	-5077.06699
130	-5077.617149
131	-5078.163644
132	-5078.675428
133	-5079.158097
134	-5079.643451
135	-5080.11281
136	-5080.547951
137	-5080.938282
138	-5081.323238
139	-5081.680269
140	-5081.991152
141	-5082.289747
142	-5082.562085
143	-5082.852187
144	-5083.130025
145	-5083.398245
146	-5083.655879
147	-5083.902112
148	-5084.110203
149	-5084.289091
150	-5084.518454
151	-5084.673589
152	-5084.849951
153	-5085.033639
154	-5085.173133
155	-5085.3492
156	-5085.513848
157	-5085.659351
158	-5085.798256
159	-5085.899166
160	-5086.026794
161	-5086.136766
162	-5086.271791
163	-5086.423072
164	-5086.499433
165	-5086.610052
166	-5086.700693
167	-5086.806423
168	-5086.863222
169	-5086.984403
170	-5087.038506
171	-5087.124681
172	-5087.196261
173	-5087.278513
174	-5087.367088
175	-5087.446803
176	-5087.537638
177	-5087.603739
178	-5087.670658
179	-5087.732518
180	-5087.786967
181	-5087.861086
182	-5087.91898
183	-5087.944989
184	-5087.998946
185	-5088.045779
186	-5088.097284
187	-5088.165484
188	-5088.204744
189	-5088.265565
190	-5088.306192
191	-5088.333506
192	-5088.368811
193	-5088.406698
194	-5088.445444
195	-5088.508401
196	-5088.541401
197	-5088.573593
198	-5088.624889
199	-5088.649436
200	-5088.687945
201	-5088.731949
202	-5088.765125
203	-5088.798257
204	-5088.840961
205	-5088.864445
206	-5088.895837
207	-5088.925327
208	-5088.946908
209	-5088.967822
210	-5089.007356
211	-5089.030928
212	-5089.061524
213	-5089.102741
214	-5089.136841
215	-5089.164198
216	-5089.197484
217	-5089.218268
218	-5089.246594
219	-5089.266071
220	-5089.284754
221	-5089.304066
222	-5089.321185
223	-5089.344773
224	-5089.37644
225	-5089.394062
226	-5089.409075
227	-5089.428623
228	-5089.452314
229	-5089.478092
230	-5089.499473
231	-5089.521416
232	-5089.539833
233	-5089.555368
234	-5089.571618
235	-5089.586092
236	-5089.60238
237	-5089.624523
238	-5089.648674
239	-5089.662337
240	-5089.679653
241	-5089.6991
242	-5089.70969
243	-5089.723284
244	-5089.734997
245	-5089.74632
246	-5089.768561
247	-5089.789326
248	-5089.802088
249	-5089.823528
250	-5089.840881
251	-5089.853485
252	-5089.868579
253	-5089.879753
254	-5089.892759
255	-5089.903756
256	-5089.917238
257	-5089.931181
258	-5089.941981
259	-5089.951045
260	-5089.962348
261	-5089.975494
262	-5089.982152
263	-5089.993675
264	-5090.003672
265	-5090.01228
266	-5090.025905
267	-5090.040139
268	-5090.046274
269	-5090.054827
270	-5090.062224
271	-5090.074217
272	-5090.086356
273	-5090.100658
274	-5090.108949
275	-5090.125481
276	-5090.136498
277	-5090.148329
278	-5090.156475
279	-5090.165355
280	-5090.172694
281	-5090.180756
282	-5090.190318
283	-5090.195858
284	-5090.202899
285	-5090.212072
286	-5090.215809
287	-5090.227265
288	-5090.234323
289	-5090.240562
290	-5090.24682
291	-5090.250908
292	-5090.259582
293	-5090.263536
294	-5090.270574
295	-5090.277091
296	-5090.280861
297	-5090.294967
298	-5090.302862
299	-5090.306747
