iter	Passed	Remaining
0	1	1425
1	2	1323
2	3	1256
3	4	1198
4	5	1131
5	6	1117
6	7	1107
7	8	1100
8	9	1093
9	11	1094
10	12	1088
11	13	1087
12	14	1093
13	15	1094
14	16	1093
15	17	1079
16	18	1067
17	19	1069
18	20	1074
19	21	1062
20	22	1053
21	23	1054
22	24	1053
23	25	1055
24	27	1058
25	28	1055
26	29	1056
27	30	1058
28	31	1060
29	32	1059
30	33	1055
31	34	1057
32	35	1052
33	36	1050
34	38	1052
35	39	1049
36	40	1047
37	41	1038
38	42	1038
39	43	1039
40	44	1040
41	45	1045
42	47	1048
43	48	1049
44	49	1052
45	50	1051
46	51	1051
47	53	1053
48	54	1048
49	54	1043
50	55	1039
51	57	1041
52	58	1038
53	59	1035
54	60	1034
55	61	1030
56	62	1030
57	63	1032
58	64	1033
59	65	1030
60	66	1026
61	67	1025
62	68	1022
63	69	1021
64	70	1021
65	72	1019
66	73	1016
67	74	1014
68	75	1013
69	76	1011
70	77	1013
71	78	1015
72	79	1014
73	80	1009
74	82	1011
75	83	1010
76	84	1007
77	85	1006
78	86	1004
79	87	1002
80	88	998
81	88	995
82	89	994
83	91	993
84	92	994
85	93	995
86	94	994
87	95	992
88	96	990
89	97	989
90	98	986
91	99	984
92	100	982
93	101	980
94	102	979
95	103	978
96	104	976
97	105	973
98	106	970
99	107	969
100	109	970
101	110	968
102	111	966
103	112	965
104	113	963
105	113	960
106	114	958
107	115	957
108	116	955
109	117	952
110	118	951
111	119	949
112	120	947
113	121	945
114	122	944
115	123	944
116	125	945
117	126	944
118	127	942
119	128	941
120	129	938
121	130	936
122	131	934
123	132	933
124	132	930
125	133	929
126	135	928
127	136	926
128	137	925
129	137	923
130	138	921
131	140	922
132	141	921
133	142	920
134	143	919
135	144	917
136	145	916
137	146	915
138	147	913
139	148	912
140	149	909
141	150	908
142	151	906
143	152	904
144	153	903
145	154	903
146	155	902
147	156	902
148	157	901
149	158	899
150	159	898
151	160	895
152	161	894
153	162	893
154	163	891
155	164	890
156	165	888
157	166	887
158	167	886
159	168	885
160	169	885
161	170	884
162	172	885
163	173	884
164	174	882
165	175	880
166	176	879
167	177	878
168	178	875
169	179	874
170	179	872
171	180	871
172	182	870
173	183	869
174	184	867
175	185	866
176	186	865
177	187	866
178	188	866
